cd_name,description
CD39,"Also known as Ectonucleoside triphosphate diphosphohydrolase 1 (ENTPD1). Hydrolyzes nucleotide substrates at extremely high turnover rates, converting ATP directly into AMP without releasing ADP. Forms oligomers that are essential for its enzymatic activity."
CD40,A costimulatory protein found on antigen presenting cells. CD40 combines with its ligand CD154 (CD40L) on T cells to induce antibody isotype switching in B cells. Under investigation as an antibody target for solid tumor (e.g. Roche RG7876).
CD41,Integrin subunit αIIb; Gene ITGA2B. Glycoprotein IIb (GPIIb): Component of the integrin αIIbβ3 (GPIIb-IIIa) fibrinogen receptor; major role is in platelet aggregation.&#91;1&#93; Mutations in ITGA2B can be causative for Glanzmann thrombasthenia.
CD42*,"the platelet Glycoprotein Ib/V/IX complex(GPIb/V/IX). Expressed on platelets and is a late, specific marker of megakaryocyte differentiation. The Glycoprotein Ib/V/IX complex is essential for normal haemostasis; deficiency results in Bernard-Soulier Syndrome, a syndrome of thrombocytopenia and giant platelets."
CD42a,Platelet glycoprotein IX (GPIX) encoded by the GP9 gene.
CD42b,Platelet glycoprotein Ib alpha chain encoded by the GP1BA gene.
CD42c,Platelet glycoprotein Ib beta chain encoded by the GP1BB gene.
CD42d,Platelet glycoprotein V encoded by the GP5 gene.
CD43,CD43 is a sialomucin.
CD44,"A family of matrix adhesion molecules formed by alternative mRNA splicing, that adhere to hyaluronate, collagen, laminin, and fibronectin. Helps maintain polarization of epithelial cells. Found on bone marrow stromal cells and many other cells."
CD45,"leucocyte common antigen, a type I transmembrane protein present on all hemopoietic cells except erythrocytes that assists in cell activation; expressed in lymphomas, B-cell chronic lymphocytic leukemia, hairy cell leukemia, and acute nonlymphocytic leukemia."
CD46,Inhibitory complement receptor which is ubiquitously expressed on human cells. Binding site for viral H (Hemagglutinin) protein.
CD47,"Membrane protein, which is involved in the increase in intracellular calcium concentration that occurs upon cell adhesion to extracellular matrix. Binds to TSP-1 and SIRPa (CD172A). Tumor cells can evade macrophage phagocytosis through CD47 expression. An experimental drug from Trillium, SIRPαFc, targets CD47 thus allowing macrophages to destroy tumor cells in acute myeloid leukemia. In 2016, Celgene via Inhibrx, Forty Seven and several other biotech companies are also trialling anti-CD47 molecules to treat various cancers and other indications."
CD48,CD48 is a human protein encoded by the CD48 gene. It is a universal cell membrane molecule present on all leukocytes.
CD49a,Integrin alpha 1 subunit.
CD49b,Very late antigen (VLA) alpha 2 chain; found on platelets and activated B and T cells.
CD49c,"Very late antigen (VLA) alpha 3 chain; found on nonhematopoietic bone marrow cells. Receptor for collagen, laminin, fibronectin, and thrombospondin."
CD49d,"Integrin alpha 4 subunit. Unlike other integrin alpha chains, alpha 4 neither contains an I-domain, nor undergoes disulfide-linked cleavage."
CD49e,Integrin alpha 5 subunit. Alpha chain 5 undergoes post-translational cleavage in the extracellular domain to yield disulfide-linked light and heavy chains that join with beta 1 to form a fibronectin receptor.
CD49f,Integrin alpha 6 subunit.
CD50,Intercellular adhesion molecule 3 encoded by the ICAM3 gene.
CD51,"CD51 is a type I integral membrane glycoprotein, known as vitronectin receptor α chain, or integrin αV. It forms heterodimer with integrin β1 (CD29), β3 (CD61), β5, β6, or β8. CD51 contains two disulfide-linked subunits of 125 kD and 24 kD, and is expressed on endothelial cells, fibroblasts, macrophages, platelets, osteoclasts, neuroblastoma, melanoma, and hepatoma cells.&#91;2&#93;"
CD52,CAMPATH-1 antigen encoded by the CD52 gene.
CD53,"A leucocyte restricted tetraspanin expressed by B cells, T cells, dendritic cells, monocytes, NK cells and Granulocytes."
CD54,Intercellular adhesion molecule -1 (ICAM-1): facilitates adhesion between leukocytes and endothelial cells during the immune and inflammatory responses
CD55,Complement Decay-Accelerating Factor (DAF): regulatory factor in one of the three pathways of the immune system complement cascade
CD56,"140 kD isoform of NCAM (neural cell adhesion molecule), a marker for natural killer cells and some T-lymphocytes"
CD57,"Is expressed by Natural Killer Cells subsets of T cells, B Cells, and Monocytes. Represents a carbohydrate epitope that contains a sulfoglucuronyl residue."
CD58,a membrane protein present on many hemopoietic cells and fibroblasts that acts as a ligand for CD2 and may be involved in T-cell function.
CD59,Membrane attack complex inhibition factor (MACIF); MAC-inhibitory protein (MAC-IP); Antigen MEM43; Protectin: Immune system complement cascade regulatory factor; Homologous restriction factor(HRF); Membrane Inhibitor of Reactive Lysis (MIRL)
CD60a,GD3 ganglioside
CD60b,9-O-acetyl-GD3 ganglioside
CD60c,7-O-acetyl-GD3 ganglioside
CD61,Integrin subunit β3; Gene ITGB3. Glycoprotein IIIa (GPIIIa): Component of the integrin αIIbβ3 (GPIIb-IIIa) fibrinogen receptor; major role is in platelet aggregation.&#91;1&#93; Mutations in ITGB3 can be causative for Glanzmann thrombasthenia.
CD62E,E-selectin is a cell adhesion molecule expressed only on endothelial cells activated by cytokines.
CD62L,L-selectin is a cell adhesion molecule found on leukocytes.
CD62P,P-selectin is a cell adhesion molecule (CAM) found in membrane of Weibel-Palade bodies in endothelial cells (cells lining blood vessels) and in the membrane of the platelet granules. Hence increased expression of CD62P implies platelet activation
CD63,"Member of the Tetraspanin family expressed in activated platelets, monocytes and macrophages."
CD64a,Commonly known as Fc-gamma receptor 1 (FcγRI) with high-affinity to IgG. CD64 is found on macrophages and monocytes.
CD65,Ceramide-dodecasaccharide; VIM-2
CD65s,Sialylated-CD65; VIM2
CD66a,CEACAM1 (Carcinoembryonic antigen-related cell adhesion molecule 1)
CD66b,CEACAM8 (Carcinoembryonic antigen-related cell adhesion molecule 8)
CD66c,CEACAM6 (Carcinoembryonic antigen-related cell adhesion molecule 6)
CD66d,CEACAM3 (Carcinoembryonic antigen-related cell adhesion molecule 3)
CD66e,CEACAM5 (Carcinoembryonic antigen-related cell adhesion molecule 5)
CD66f,Pregnancy-specific beta-1-glycoprotein 1 encoded by the PSG1 gene. Produced in high quantity during pregnancy.
CD68,"110 kDa highly glycosylated transmembrane protein which is mainly located in lysosomes. Present in macrophages in many human tissues including Kupffer's cells and macrophages in the red pulp of the spleen, in lung alveoli, in lamina propria of the gut, and in the bone marrow. Used as immunocytochemical marker for staining of monocytes/macrophages."
CD69,An early activation marker on T cells and NK cells.
CD70,Expressed on highly activated lymphocytes (like in T- and B-cell lymphomas). Its ligand is CD27.
CD71,"Transferrin receptor (Transferrin receptor protein 1 - TfR1), mediates cellular uptake of iron. Ubiquitously expressed on dividing, normal (haematological precursors) and malignant cells. Currently investigated as a target for an antibody (""probody"") drug conjugate from Cytomx / Abbvie to treat various cancers."
CD72,Mediator of B-cell - T-cell interactions
CD73,"Also known as 5'-ribonucleotide phosphohydrolase. Is expressed on subsets of B-cells and T-cells, endothelial cells, pericytes, follicular dendritic cells, fibroblasts, epithelial cells, cardiomyocytes, neurons, osteoblasts and trophoblasts. Is also expressed on and used as an identification marker of Mesenchymal Stem Cells. Catalyzes the conversion of AMP to bioactive adenosine at neutral pH. Also has functions independent of its enzyme activity and can transmit potent activation signals in T-cells when ligated by antibodies. Upon binding of the antibody on lymphocytes, but not on endothelial cells, CD73 delivers a tyrosine phosphorylation inducing signal. Also functions as a cell adhesion molecule and mediates lymphocyte binding to endothelial cells and adhesion between B-cells and follicular dendritic cells"
CD74,"Transmembrane protein that assists and maintains the assembly of MHC-II complexes in the ER until its loaded with peptide in Endosomes. Present in all professional APCs expressing MHC-II. It is more commonly named ""Invariant chain"" and coded in the HLA-II gene cluster."
CD75,lactosamines
CD75s,alpha-2;6-sialylated lactosamines
CD77,ceramide trihexoside
CD79A,"Also known as B-cell antigen receptor complex-associated protein alpha chain and MB-1 membrane glycoprotein, is a protein that in humans is encoded by the CD79A gene. Together with CD79B, forms a dimer associated with the formation of the B-cell antigen receptor (BCR), enabling a cell to respond to the presence of antigens on its surface."
CD79B,"Also known as B-cell antigen receptor complex-associated protein beta chain, is a protein that in humans is encoded by the CD79B gene. Together with CD79A, forms a dimer associated with the formation of the B-cell antigen receptor (BCR), enabling a cell to respond to the presence of antigens on its surface. Roche is developing an antibody drug conjugate (RG7596) targeting CD76b in certain types of Non-Hogdkin Lymphoma. Macrogenics has started pre-clinical studies into a drug (MGD010) targeting CD79b and CD32b."
CD80,"when bound to CD28 on T-cells, can provide the costimulatory effect; also referred to as B7.1, one of the B7 molecules. Causes up-regulation of a high affinity IL-2 receptor allowing T cells to proliferate."
CD81,"A tetraspanin expressed in a wide variety of tissues, which plays an important role in B cells as part of the B cell co-receptor complex with CD19, Leu 13 and CD21. Also expressed in T cells, NK cells, Dendritic cells, Monocytes and blood progenitors."
CD82,"Member of the tetraspanin family of transmembrane proteins. Broad tissue distribution including B cells, T cells, Granulocytes, Monocytes and CD34+ progenitors."
CD83,"a 45 kDa transmembrane glycoprotein of the Ig superfamily. Expressed on cultured dendritic cells, interdigitating, follicular, and circulating dendritic cells as well as some proliferating lymphocyte of all human cell lines. Functionally unclear, but can serve as a useful marker for mature human blood dendritic cells."
CD84,SLAM family member 5 (SLAMF5 - Signaling lymphocytic activation molecule 5) encoded by the CD84 gene. Plays a role as adhesion receptor.
CD85A,LILRB3 - Leukocyte immunoglobulin-like receptor subfamily B member 3
CD85B,LILRB6 - Leukocyte immunoglobulin-like receptor subfamily B member 6
CD85C,LILRB5 - Leukocyte immunoglobulin-like receptor subfamily B member 5. Detected in natural killer (NK) cells.
CD85D,LILRB2 - Leukocyte immunoglobulin-like receptor subfamily B member 2
CD85F,LILRB7 - Leukocyte immunoglobulin-like receptor subfamily B member 7
CD85G,LILRA4 - Leukocyte immunoglobulin-like receptor subfamily A member 4
CD85H,LILRA2 - Leukocyte immunoglobulin-like receptor subfamily A member 2
CD85I,LILRA1 - Leukocyte immunoglobulin-like receptor subfamily A member 1
CD85J,LILRB1 - Leukocyte immunoglobulin-like receptor subfamily B member 1
CD85K,LILRB4 - Leukocyte immunoglobulin-like receptor subfamily B member 4
CD85M,LILRP2 LILRA5 - leukocyte immunoglobulin-like receptor subfamily A (without TM domain); member 5
CD86,"when bound to CD28 on T-cells, can provide the costimulatory effect; also referred to as B7.2, one of the B7 molecules. Causes up-regulation of a high affinity IL-2 receptor allowing T cells to proliferate."
CD87,"also referred to as the urokinase type plasminogen activator receptor, provides a binding point for urokinase type plasminogen activator"
CD88,C5a receptor
CD89,FcalphaRI - receptor for IgA
CD90,Thy-1 Thymus cell antigen.
CD91,"Low density lipoprotein (LDL) receptor-related protein 1 (LRP1) (also known as α2-macroglobulin receptor), a major endocytotic receptor with over 35 known ligands including amyloid precursor protein (APP), ApoE, and many proteins involved with protease regulation"
CD92,Choline transporter-like protein 1 (CTL1) encoded by the SLC44A1 gene
CD93,Complement component C1q receptor (C1QR1) encoded by the CD93 gene
CD94,"Natural killer cells antigen CD94, encoded by the KLRD1 gene. Plays a role as a receptor for the recognition of MHC class I HLA-E molecules by NK cells and some cytotoxic T-cells."
CD95,"Fas Receptor, encoded by FAS gene; receptor for Fas ligand (CD178 - FASLG), an extrinsic apoptotic signal i.e. Fas ligand binding to Fas receptor leads to apoptosis - death of the cell. Fas ligand/receptor interactions play an important role in the regulation of the immune system and the progression of cancer."
CD96,CD96 is a transmembrane glycoprotein that has three extracellular immunoglobulin-like domains and is expressed by all resting human and mouse NK cells. CD96 main ligand is CD155. CD 96 has approximately 20% homology with CD226 and competed for binding to CD155 with CD226.
CD97,CD97 antigen encoded by the CD97 gene. Receptor potentially involved in both adhesion and signaling processes early after leukocyte activation. Plays an essential role in leukocyte migration
CD98,"is a glycoprotein that is a heterodimer composed of SLC3A2 and SLC7A5 that forms the large neutral amino acid transporter (LAT1). LAT1 is a heterodimeric membrane transport protein that preferentially transports branched-chain (valine, leucine, isoleucine) and aromatic (tryptophan, tyrosine) amino acids. LAT is highly expressed in brain capillaries (which form the blood–brain barrier) relative to other tissues. A functional LAT1 transporter is composed of two proteins encoded by two distinct genes:4F2hc/CD98 heavy subunit protein encoded by the SLC3A2 gene CD98 light subunit protein encoded by the SLC7A5."
CD99,"Also known as MIC2 or single-chain type-1 glycoprotein, is a heavily O-glycosylated transmembrane protein. Unusually for a gene present on the X chromosome, the CD99 gene does not undergo X inactivation. It is expressed on all leukocytes but highest on thymocytes and is believed to augment T-cell adhesion and apoptosis of double positive t cells. It also participates in migration and activation. Also used to distinguish between various hematological malignancies."
CD100,Also known as semaphorin 4D and is known as a potent proangiogenic molecule.
CD101,Also known as IGSF2 or V7. It participates in human T-cell activation and is expressed by human skin dendritic cells
CD102,"Intercellular adhesion molecule 2, encoded by ICAM2 gene."
CD103,"A type I transmembrane protein present on intestinal intraepithelial lymphocytes, some circulating leukocytes, and some T cells that facilitates adhesion to epithelia; expressed in hairy cell leukemia and some B-cell chronic lymphocytic leukemias."
CD104,"Integrin beta-4 (ITB4), encoded by the ITGB4 gene; receptor for laminin; structural role in epithelial cells; required for regulation of keratinocyte polarity and motility"
CD105,"Endoglin, a regulatory component of the TGF-beta receptor-cell complex. Mediates cellular response to TGFbeta."
CD106,VCAM-1; Alpha 4 beta 1 ligand. Adhesion molecule involved in white blood cell migration.
CD107*,Found on Platelets
CD107a,Lysosome-associated Membrane Protein 1 (LAMP1)
CD107b,Lysosome-associated Membrane Protein 2 (LAMP2)
CD108,"Semaphorin-7A, encoded by SEMA7A gene; also known as the John-Milton-Hagen (JMH) blood group antigen, a glycoprotein expressed on activated lymphocytes and erythrocytes"
CD109,"r150, Gov alloantigen, an accessory receptor of the TGF-beta signaling pathway. Mediates cellular response to TGFbeta. Presents Gov alloantigens and ABH blood antigens."
CD110,"Thrombopoietin receptor (TPOR), encoded by the MPL (myeloproliferative leukemia virus) gene; mutations in gene associated with forms of anemia, myelofibrosis and thrombocythemia."
CD111,"Nectin-1 or Herpesvirus entry mediator C (HveC), encoded by the PVRL1 (Poliovirus receptor-related protein 1) gene. Key role in cellular entry of Herpes simplex virus."
CD112,"Nectin-2 or Herpesvirus entry mediator B (HveB), encoded by the PVRL2 (Poliovirus receptor-related protein 2) gene. Involved in entry for some herpes simplex strains and pseudorabies. Variations in gene linked to severity of multiple sclerosis."
CD113,"Nectin-3, encoded by the PVRL3 (Poliovirus receptor-related protein 3) gene. Role in cell-cell adhesion"
CD114,"Granulocyte colony-stimulating factor receptor (GCSFR), encoded by the CSF3R gene; essential for granulocytic maturation"
CD115,"a cell-surface protein encoded, in humans, by the CSF1R gene. Also known as colony stimulating factor 1 receptor (CSF1R) and/or as macrophage colony-stimulating factor receptor (M-CSFR). It is a receptor, known to be expressed on monocytes and macrophages, for a cytokine called colony stimulating factor 1 (CSF1) and also interleukin 34 (IL34). Binding to CSF1 and IL34 ligands activate CSF1R, promoting survival and activity of monocytes and macrophages. Five Prime has an early stage drug, FPA008, that blocks CSF1R in the hope of treating macrophage-dependent diseases including cancers and rheumatoid arthritis - in trials with Nivolumab. Roche also has an experimental anti-CD115 mAb, Emactuzumab.&#91;3&#93;"
CD116,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha (GMR-alpha); encoded by the CSF2RA gene
CD117,"c-kit, the receptor for Stem Cell Factor, a glycoprotein that regulates cellular differentiation, particularly in hematopoiesis"
CD118,"Leukemia inhibitory factor receptor, encoded by the LIFR gene; signal-transducing molecule"
CD119,"Interferon gamma receptor 1, encoded by the IFNGR1 gene; receptor for interferon gamma - two receptors bind one interferon gamma dimer."
CD120*,"a receptor for Tumour Necrosis Factor, an inflammatory cytokine"
CD120a,"Tumor necrosis factor receptor superfamily member 1A (TNFR1), encoded by TNFRSF1A gene. Familial hibernian fever is caused by mutations in this gene."
CD120b,"Tumor necrosis factor receptor superfamily member 1B (TNFR2), encoded by TNFRSF1B gene. Constituent of the drug Enbrel, used to treat rheumatoid arthritis."
CD121a,"Interleukin-1 receptor type 1, encoded by IL1R1 gene; cytokine receptor"
CD121b,"Interleukin-1 receptor type 2, encoded by IL1R2 gene; cytokine receptor"
CD122,beta subunit of IL-2 receptor
CD123,"Also known as interleukin-3 receptor (IL-3R), is a molecule found on cells which helps transmit the signal of interleukin-3, a soluble cytokine important in the immune system. It is found on pluripotent progenitor cells, induces tyrosine phosphorylation within the cell, and promotes proliferation and differentiation within the hematopoietic cell lines."
CD124,Interleukin-4 receptor subunit alpha; encoded by IL4R gene. Receptor for both interleukin 4 and interleukin 13. IL4Ra is targeted by Regeneron-Sanofi antibody Dupilumab in the treatment of atopic dermatitis&#91;4&#93; and Pieris-Astra Zeneca investigational anticalin PRS-060 in the treatment of asthma.&#91;5&#93; Both drugs thus modulate signaling of the interleukin 4 and interleukin 13 pathways.
CD125,Interleukin-5 receptor subunit alpha; encoded by IL5RA gene.
CD126,Interleukin-6 receptor subunit alpha; encoded by IL6R gene.
CD127,the IL-7 receptor alpha chain
CD129,Interleukin-9 receptor; encoded by IL9R gene
CD130,Interleukin-6 receptor subunit beta (IL6RB); encoded by IL6ST gene; signal-transducing molecule
CD131,"Cytokine receptor common subunit beta; encoded by CSF2RB gene; high affinity receptor for interleukin-3, interleukin-5 and granulocyte-macrophage colony-stimulating factor. Gene mutation can cause a rare lung disorder."
CD132,"Cytokine receptor common subunit gamma, or gamma subunit of IL-2 receptor (IL2RG). Gene mutation can cause rare x-linked immunodeficiency."
CD133,"Prominin-1, (PROM1 gene); a hematopoietic and CNS stem cell marker. A 5 transmembrane domain protein. Also known as AC133. Gene mutations can cause various retinal diseases. Also found in various body fluids such as cerebrospinal fluid, saliva, seminal fluid and urine."
